,SPECTRA_parameter,train_size,test_size,cross_split_overlap,test/rmse,test/mae,test/r2
lipo_spectra_hamming_0.70_2,0.7,692,173,0.0461589009353386,0.2715119421482086,0.2082265764474868,0.9559731483459472
lipo_spectra_hamming_0.75_0,0.75,164,41,0.0383708892586258,0.2542026937007904,0.1888494342565536,0.9697480201721193
lipo_spectra_hamming_0.75_1,0.75,620,156,0.0444738597885649,0.2818979620933532,0.1995695978403091,0.9537886381149292
lipo_spectra_hamming_0.75_2,0.75,94,24,0.0414718736148049,0.1819606274366378,0.1515817791223526,0.9651213884353638
lipo_spectra_hamming_0.80_0,0.8,32,8,0.0369491577148437,0.4460536539554596,0.406877726316452,0.917949676513672
lipo_spectra_hamming_0.80_1,0.8,561,141,0.0433954320465291,0.2816959321498871,0.2097475826740265,0.9586691856384276
lipo_spectra_hamming_0.80_2,0.8,515,129,0.0430573880955068,0.2457724511623382,0.1994622349739074,0.9604655504226683
lipo_spectra_hamming_0.85_0,0.85,150,38,0.0372303316885964,0.2617738246917724,0.1915585398674011,0.9544910788536072
lipo_spectra_hamming_0.85_1,0.85,157,40,0.0361290804140127,0.2066406011581421,0.1591094583272934,0.9712498784065248
lipo_spectra_hamming_0.85_2,0.85,32,8,0.0366058349609375,0.2414489686489105,0.1833086013793945,0.9590728878974916
lipo_spectra_hamming_0.90_0,0.9,11,3,0.0359552556818181,0.4537196159362793,0.3097745478153229,0.50117027759552
lipo_spectra_hamming_0.90_1,0.9,345,87,0.0395333583208395,0.2713875472545624,0.1896281838417053,0.9552051424980164
lipo_spectra_hamming_0.90_2,0.9,22,6,0.0397579308712121,0.242154061794281,0.2046072334051132,0.9763569235801696
lipo_spectra_hamming_0.95_0,0.95,18,5,0.0402452256944444,0.2517796754837036,0.2181161195039749,0.970133364200592
lipo_spectra_hamming_0.95_1,0.95,99,25,0.0323796559343434,0.1978316605091095,0.1546884328126907,0.973248302936554
lipo_spectra_hamming_0.95_2,0.95,7,2,0.04115513392857143,0.2678852081298828,0.2644469738006592,-4.931143760681152
