,SPECTRA_parameter,train_size,test_size,cross_split_overlap,test/roc,test/f1,test/accuracy,test/prc
bace_spectra_hamming_0.20_2,0.2,491,123,0.0709804071094746,0.979323387145996,0.8965517282485962,0.9512194991111756,0.9519422054290771
bace_spectra_hamming_0.25_0,0.25,384,97,0.068810112287908,0.9826651811599731,0.8333333134651184,0.9175257682800292,0.9555696845054626
bace_spectra_hamming_0.25_1,0.25,363,91,0.0693151545424272,0.9781064391136168,0.8799999952316284,0.9340659379959106,0.9308642148971558
bace_spectra_hamming_0.25_2,0.25,335,84,0.0694959216195806,0.982536792755127,0.9032257795333862,0.9642857313156128,0.9029780626296996
bace_spectra_hamming_0.30_0,0.3,338,85,0.0680104909937347,0.9796633720397948,0.8510638475418091,0.9176470637321472,0.9455553293228148
bace_spectra_hamming_0.30_1,0.3,506,127,0.0676644202882341,0.9742236137390136,0.8484848737716675,0.9212598204612732,0.9172736406326294
bace_spectra_hamming_0.30_2,0.3,323,81,0.0676673119601154,0.9762308597564696,0.7906976938247681,0.8888888955116272,0.934011459350586
bace_spectra_hamming_0.35_0,0.35,257,65,0.0659995486942532,0.9743589758872986,0.8799999952316284,0.953125,0.8704165816307068
bace_spectra_hamming_0.35_1,0.35,330,83,0.0652261389307228,0.9688405990600586,0.8181818127632141,0.9036144614219666,0.8875563144683838
bace_spectra_hamming_0.35_2,0.35,375,94,0.0639039505762411,0.9785353541374208,0.800000011920929,0.8936170339584351,0.9395583868026732
bace_spectra_hamming_0.40_0,0.4,364,92,0.0640809067800406,0.968055546283722,0.800000011920929,0.91304349899292,0.8999254107475281
bace_spectra_hamming_0.40_1,0.4,355,89,0.064903805734689,0.970355749130249,0.8444444537162781,0.9213483333587646,0.9396959543228148
bace_spectra_hamming_0.40_2,0.4,272,69,0.0631976115429188,0.9912854433059692,0.8999999761581421,0.9420289993286132,0.9763543605804444
bace_spectra_hamming_0.45_0,0.45,328,83,0.0626533860288715,0.9964349269866944,0.9090909361839294,0.9638554453849792,0.9873759150505066
bace_spectra_hamming_0.45_1,0.45,190,48,0.0594011273300438,0.939453125,0.7878788113594055,0.8541666865348816,0.8145169615745544
bace_spectra_hamming_0.45_2,0.45,250,63,0.061704117063492,0.9791666269302368,0.8823529481887817,0.9365079402923584,0.895205020904541
bace_spectra_hamming_0.50_0,0.5,324,81,0.0599750925211476,0.9649122357368468,0.8799999952316284,0.92592591047287,0.9220466613769532
bace_spectra_hamming_0.50_1,0.5,236,60,0.0600021793343926,0.9999999403953552,0.9473684430122375,0.9833333492279052,1.0
bace_spectra_hamming_0.50_2,0.5,216,55,0.0595500085490319,0.9903100728988647,0.9090909361839294,0.9636363387107848,0.974724292755127
bace_spectra_hamming_0.55_0,0.55,134,34,0.0586756303500878,0.897777795791626,0.800000011920929,0.8823529481887817,0.824476420879364
bace_spectra_hamming_0.55_1,0.55,292,74,0.0588832658911051,0.9802336096763612,0.8108108043670654,0.9054054021835328,0.9598549008369446
bace_spectra_hamming_0.55_2,0.55,153,39,0.0606296872381431,1.0,0.75,0.9487179517745972,1.0
bace_spectra_hamming_0.60_0,0.6,156,39,0.0584091597838593,0.993827223777771,0.800000011920929,0.8974359035491943,0.9860625267028807
bace_spectra_hamming_0.60_1,0.6,125,32,0.05790087890625,1.0,0.8888888955116272,0.96875,1.0
bace_spectra_hamming_0.60_2,0.6,168,42,0.0570691167091836,0.9865319728851318,0.9473684430122375,0.976190447807312,0.943077564239502
bace_spectra_hamming_0.65_0,0.65,32,8,0.0606765747070312,1.0,1.0,1.0,1.0
bace_spectra_hamming_0.65_1,0.65,155,39,0.0570821378722084,0.9758620858192444,0.8235294222831726,0.9230769276618958,0.9463852643966676
bace_spectra_hamming_0.65_2,0.65,21,6,0.0632285466269841,1.0,1.0,1.0,1.0
bace_spectra_hamming_0.70_0,0.7,274,69,0.0546836259818311,0.9771825075149536,0.8571428656578064,0.91304349899292,0.9363044500350952
bace_spectra_hamming_0.70_1,0.7,284,72,0.0548658296349276,0.988085150718689,0.9387755393981934,0.9583333134651184,0.977478802204132
bace_spectra_hamming_0.70_2,0.7,104,27,0.052959735576923,0.9545454382896424,0.7692307829856873,0.8888888955116272,0.8163095712661743
bace_spectra_hamming_0.75_0,0.75,220,55,0.0528880423553719,0.9896694421768188,0.8695651888847351,0.9454545378684998,0.9564252495765686
bace_spectra_hamming_0.75_1,0.75,153,39,0.0524221106711915,0.9965516924858092,0.9473684430122375,0.9743589758872986,0.9904544949531556
bace_spectra_hamming_0.75_2,0.75,75,19,0.0518551260964912,1.0,1.0,1.0,1.0
bace_spectra_hamming_0.80_0,0.8,145,37,0.0505988612534948,1.0,0.9166666865348816,0.945945918560028,1.0
bace_spectra_hamming_0.80_1,0.8,165,42,0.0514055172258297,0.9765396118164062,0.9166666865348816,0.9523809552192688,0.8997081518173218
bace_spectra_hamming_0.80_2,0.8,16,4,0.05865478515625,0.5,0.5,0.5,0.4166666865348816
bace_spectra_hamming_0.85_0,0.85,115,29,0.0464916955584707,0.9821429252624512,0.875,0.931034505367279,0.9642045497894288
bace_spectra_hamming_0.85_1,0.85,88,22,0.0484235779313016,0.9764705896377563,0.6666666865348816,0.8636363744735718,0.9183333516120912
bace_spectra_hamming_0.85_2,0.85,6,2,0.0693359375,1.0,0.0,0.5,1.0
bace_spectra_hamming_0.90_0,0.9,102,26,0.0394925999245852,0.7999999523162842,0.7878788113594055,0.7307692170143127,0.8823196887969971
bace_spectra_hamming_0.90_1,0.9,12,3,0.0399034288194444,0.0,0.0,1.0,0.5
bace_spectra_hamming_0.90_2,0.9,6,2,0.0730794270833333,0.0,0.0,1.0,0.5
bace_spectra_hamming_0.95_0,0.95,4,2,0.062744140625,0.0,0.0,0.5,0.5
