dataset,split_type,split_num,model,roc_auc
bace,spectra_tanimoto,0.55_1,RF,0.5833333333333333
bace,spectra_tanimoto,0.55_1,XGB,0.5
bace,spectra_tanimoto,0.55_1,SVM,0.5
bace,random,0,LogReg,0.9058604609452068
bace,random,0,RF,0.9157250470809792
bace,random,0,XGB,0.9017128508653932
bace,random,0,SVM,0.9099856515110752
bace,random,1,LogReg,0.8502149499912265
bace,random,1,RF,0.8724776276539744
bace,random,1,XGB,0.8733549745569399
bace,random,1,SVM,0.8751096683628706
bace,random,2,LogReg,0.8320856317310217
bace,random,2,RF,0.8607389895805971
bace,random,2,XGB,0.8487873216005604
bace,random,2,SVM,0.8663645915418966
bace,random,3,LogReg,0.8680908931391471
bace,random,3,RF,0.8934681523074224
bace,random,3,XGB,0.8724118266362519
bace,random,3,SVM,0.8826109843832252
bace,random,4,LogReg,0.8631638714185884
bace,random,4,RF,0.8713312368972747
bace,random,4,XGB,0.8756551362683438
bace,random,4,SVM,0.8830800139762404
bace,scaffold,0,LogReg,0.8430405405405406
bace,scaffold,0,RF,0.8709684684684684
bace,scaffold,0,XGB,0.864572072072072
bace,scaffold,0,SVM,0.8841666666666667
bace,scaffold,1,LogReg,0.883721957251369
bace,scaffold,1,RF,0.8947403285638581
bace,scaffold,1,XGB,0.9011879526585409
bace,scaffold,1,SVM,0.9024907260201378
bace,scaffold,2,LogReg,0.8091841841841843
bace,scaffold,2,RF,0.8822822822822823
bace,scaffold,2,XGB,0.8442942942942944
bace,scaffold,2,SVM,0.8740740740740742
bace,scaffold,3,LogReg,0.8873403284671533
bace,scaffold,3,RF,0.8987910583941606
bace,scaffold,3,XGB,0.8930885036496351
bace,scaffold,3,SVM,0.8938640510948905
bace,scaffold,4,LogReg,0.8510884353741497
bace,scaffold,4,RF,0.8684353741496598
bace,scaffold,4,XGB,0.8736961451247165
bace,scaffold,4,SVM,0.886984126984127
bace,umap,0,LogReg,0.68924293008641
bace,umap,0,RF,0.6079389238020424
bace,umap,0,XGB,0.6275530243519245
bace,umap,0,SVM,0.7010506677140613
bace,umap,1,LogReg,0.5249508672989832
bace,umap,1,RF,0.590681876441938
bace,umap,1,XGB,0.5681449201059557
bace,umap,1,SVM,0.6423566606852944
bace,umap,2,LogReg,0.421360860450278
bace,umap,2,RF,0.3437243642329778
bace,umap,2,XGB,0.4751617901740953
bace,umap,2,SVM,0.3837389481359949
bace,umap,3,LogReg,0.4688006975989617
bace,umap,3,RF,0.6471142926670993
bace,umap,3,XGB,0.5592959117456198
bace,umap,3,SVM,0.6101658825438028
bace,umap,4,LogReg,0.5361521194854528
bace,umap,4,RF,0.5922364672364673
bace,umap,4,XGB,0.5216804800138134
bace,umap,4,SVM,0.49303936803936804
