dataset,split_type,split_num,model,SP,metric
bbbp,spectra_tanimoto,0.45_2,LogReg,0.45,0.22
bbbp,spectra_tanimoto,0.45_2,RF,0.45,0.44
bbbp,spectra_tanimoto,0.45_2,XGB,0.45,0.35
bbbp,spectra_tanimoto,0.45_2,SVM,0.45,0.58
bbbp,spectra_tanimoto,0.50_0,LogReg,0.50,0.609375
bbbp,spectra_tanimoto,0.50_0,RF,0.50,0.53125
bbbp,spectra_tanimoto,0.50_0,XGB,0.50,0.5
bbbp,spectra_tanimoto,0.50_0,SVM,0.50,0.59375
bbbp,spectra_tanimoto,0.50_1,LogReg,0.50,0.4
bbbp,spectra_tanimoto,0.50_1,RF,0.50,0.9
bbbp,spectra_tanimoto,0.50_1,XGB,0.50,0.9
bbbp,spectra_tanimoto,0.50_1,SVM,0.50,0.7
bbbp,spectra_tanimoto,0.50_2,LogReg,0.50,0.666666666666667
bbbp,spectra_tanimoto,0.50_2,RF,0.50,0.833333333333333
bbbp,spectra_tanimoto,0.50_2,XGB,0.50,0.8
bbbp,spectra_tanimoto,0.50_2,SVM,0.50,0.766666666666667
bbbp,spectra_tanimoto,0.55_0,LogReg,0.55,0.875
bbbp,spectra_tanimoto,0.55_0,RF,0.55,0.8125
bbbp,spectra_tanimoto,0.55_0,XGB,0.55,0.8125
bbbp,spectra_tanimoto,0.55_0,SVM,0.55,0.875
bbbp,spectra_tanimoto,0.55_1,LogReg,0.55,NA
bbbp,spectra_tanimoto,0.55_1,RF,0.55,NA
bbbp,spectra_tanimoto,0.55_1,XGB,0.55,NA
bbbp,spectra_tanimoto,0.55_1,SVM,0.55,NA
bbbp,spectra_tanimoto,0.55_2,LogReg,0.55,1
bbbp,spectra_tanimoto,0.55_2,RF,0.55,1
bbbp,spectra_tanimoto,0.55_2,XGB,0.55,1
bbbp,spectra_tanimoto,0.55_2,SVM,0.55,1
bbbp,spectra_tanimoto,0.60_0,LogReg,0.60,0.625
bbbp,spectra_tanimoto,0.60_0,RF,0.60,1
bbbp,spectra_tanimoto,0.60_0,XGB,0.60,0.625
bbbp,spectra_tanimoto,0.60_0,SVM,0.60,1
bbbp,spectra_tanimoto,0.60_1,LogReg,0.60,0.880952380952381
bbbp,spectra_tanimoto,0.60_1,RF,0.60,0.857142857142857
bbbp,spectra_tanimoto,0.60_1,XGB,0.60,0.428571428571429
bbbp,spectra_tanimoto,0.60_1,SVM,0.60,0.952380952380952
bbbp,spectra_tanimoto,0.60_2,LogReg,0.60,0.25
bbbp,spectra_tanimoto,0.60_2,RF,0.60,0.541666666666667
bbbp,spectra_tanimoto,0.60_2,XGB,0.60,0.333333333333333
bbbp,spectra_tanimoto,0.60_2,SVM,0.60,0.666666666666667
bbbp,spectra_tanimoto,0.65_0,LogReg,0.65,0.25
bbbp,spectra_tanimoto,0.65_0,RF,0.65,0.25
bbbp,spectra_tanimoto,0.65_0,XGB,0.65,0.375
bbbp,spectra_tanimoto,0.65_0,SVM,0.65,0.375
bbbp,spectra_tanimoto,0.65_1,LogReg,0.65,NA
bbbp,spectra_tanimoto,0.65_1,RF,0.65,NA
bbbp,spectra_tanimoto,0.65_1,XGB,0.65,NA
bbbp,spectra_tanimoto,0.65_1,SVM,0.65,NA
bbbp,spectra_tanimoto,0.65_2,LogReg,0.65,0.916666666666667
bbbp,spectra_tanimoto,0.65_2,RF,0.65,1
bbbp,spectra_tanimoto,0.65_2,XGB,0.65,0.833333333333333
bbbp,spectra_tanimoto,0.65_2,SVM,0.65,1
